Phase,Week,Action Item,Platform/Area,Responsible Party,Budget,Success Metric,Notes,Priority
QUICK_WINS,Opportunity,Partner with nearby hotels,Immediate Action,Sales Director,€0,Cross-promotion with hotels hosting Chinese guests,Quick distribution channel,MEDIUM
QUICK_WINS,Opportunity,Contact Croatian Tourism Board,Immediate Action,Marketing Director,€0,Join Chinese market initiatives and get support,Leverage existing efforts,MEDIUM
QUICK_WINS,Opportunity,Set up WeChat QR code for contact,Immediate Action,IT + Marketing,€50,Guests can add restaurant on WeChat easily,Build owned audience,MEDIUM

LONG_TERM,Goal,Become #1 Dubrovnik restaurant group for Chinese tourists,Strategic Objective,All Departments,Year 1-3 investment,Market leadership position,"Known as best choice, referenced by guides",CRITICAL
LONG_TERM,Goal,500+ Chinese guests per year sustained,Revenue Target,All Departments,Ongoing investment,Significant revenue contribution,"At €300 avg = €150K annual revenue from Chinese segment",HIGH
LONG_TERM,Goal,Chinese market manager dedicated role,Team Building,HR + Finance,€30-40K/year salary,Full-time Chinese market specialist hired,In-house expertise,HIGH
LONG_TERM,Goal,Annual KOL event in Dubrovnik,Marketing Program,Marketing + Operations,€15-25K/year,3-5 KOLs invited annually for major content creation,Sustained visibility,MEDIUM
LONG_TERM,Goal,Partnership with Air China or similar,Distribution,Sales Director + Agency,€0 (revenue share model),Direct airline partnership for promotion,Premium distribution channel,MEDIUM
LONG_TERM,Goal,Chinese language menu updates quarterly,Operations Excellence,Operations + Translator,€200/quarter,Always current with seasonal offerings,Operational standard,MEDIUM
LONG_TERM,Goal,Mandarin-speaking staff at each location,Team Building,HR,€25-35K/year per person,4 Chinese-speaking staff members (1 per restaurant),Service excellence,MEDIUM
LONG_TERM,Goal,WeChat loyalty program with 1000+ members,Customer Retention,Marketing + IT,€2-3K/year program cost,Active database for direct marketing,Owned audience asset,MEDIUM
LONG_TERM,Goal,Featured in Chinese travel guides,PR & Media,Agency,€2-5K/year for PR,Listed in major Chinese Dubrovnik/Croatia guides,Credibility and discovery,LOW
LONG_TERM,Goal,100+ 5-star Dianping reviews per restaurant,Reputation,All Departments,Ongoing excellence,Total 400+ across portfolio,Market dominance signal,HIGH
